Company Tickers,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,FB,FB,FB,FB,FB,FB,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,NFLX,NFLX,NFLX,NFLX,NFLX,NFLX
Stock Info,High,Low,Open,Close,Volume,Adj Close,High,Low,Open,Close,Volume,Adj Close,High,Low,Open,Close,Volume,Adj Close,High,Low,Open,Close,Volume,Adj Close,High,Low,Open,Close,Volume,Adj Close
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-11,94.76000213623047,92.9000015258789,93.7300033569336,93.62000274658203,22491000,93.62000274658203,118.18000030517578,113.33000183105469,117.80999755859375,113.48999786376953,97082800.0,105.60125732421875,528.97998046875,522.0,523.6500244140625,527.4600219726562,2676600,527.4600219726562,123.76000213623047,120.0,120.01000213623047,122.73999786376953,11596800.0,122.73999786376953,704.0,684.3200073242188,699.5800170898438,690.2999877929688,5494000.0,690.2999877929688
2015-08-12,94.44000244140625,91.19000244140625,92.69999694824219,94.19000244140625,27050500,94.19000244140625,115.41999816894531,109.62999725341797,112.52999877929688,115.23999786376953,101217500.0,107.22959899902344,527.5,513.0599975585938,523.75,525.9099731445312,3962300,525.9099731445312,122.44999694824219,118.66000366210938,121.47000122070312,120.51000213623047,13822500.0,120.51000213623047,696.0,680.510009765625,694.489990234375,691.469970703125,2924900.0,691.469970703125
2015-08-13,94.7300033569336,93.3499984741211,94.05000305175781,93.43000030517578,17451800,93.43000030517578,116.4000015258789,114.54000091552734,116.04000091552734,115.1500015258789,48535800.0,107.1458740234375,534.6599731445312,525.489990234375,527.3699951171875,529.6599731445312,2895200,529.6599731445312,125.7300033569336,119.33999633789062,120.98999786376953,123.7300033569336,15284400.0,123.7300033569336,694.030029296875,682.1799926757812,689.2000122070312,686.510009765625,1817700.0,686.510009765625
2015-08-14,94.72000122070312,93.20999908447266,93.54000091552734,94.41999816894531,15929700,94.41999816894531,116.30999755859375,114.01000213623047,114.31999969482422,115.95999908447266,42929500.0,107.8995590209961,534.1099853515625,528.25,528.25,531.52001953125,1994800,531.52001953125,125.0,123.0,124.95999908447266,123.38999938964844,8667700.0,123.38999938964844,692.260009765625,682.9000244140625,684.0399780273438,689.3699951171875,1379900.0,689.3699951171875
2015-08-17,94.45999908447266,93.38999938964844,94.41999816894531,93.93000030517578,18313500,93.93000030517578,117.6500015258789,115.5,116.04000091552734,117.16000366210938,40884700.0,109.01614379882812,538.739990234375,527.1199951171875,531.2899780273438,535.219970703125,2581700,535.219970703125,125.69999694824219,122.58999633789062,123.13999938964844,125.36000061035156,9233800.0,125.36000061035156,694.739990234375,683.0599975585938,688.0399780273438,694.1099853515625,1234000.0,694.1099853515625
2015-08-18,95.8499984741211,94.04000091552734,94.08000183105469,95.16999816894531,22278800,95.16999816894531,117.44000244140625,116.01000213623047,116.43000030517578,116.5,34560700.0,108.40201568603516,539.489990234375,533.0,535.0399780273438,535.02001953125,2071300,535.02001953125,126.75,123.55000305175781,125.26000213623047,124.05000305175781,9382000.0,124.05000305175781,695.760009765625,685.3200073242188,691.0700073242188,688.72998046875,1385500.0,688.72998046875
2015-08-19,96.0999984741211,94.16000366210938,94.62999725341797,95.30999755859375,23251300,95.30999755859375,116.5199966430664,114.68000030517578,116.0999984741211,115.01000213623047,48286500.0,107.01558685302734,537.25,529.0,533.739990234375,532.9199829101562,2324000,532.9199829101562,123.69999694824219,121.5,123.5,122.05999755859375,10115300.0,122.05999755859375,700.2000122070312,686.7999877929688,690.1099853515625,694.0399780273438,2509700.0,694.0399780273438
2015-08-20,94.7699966430664,90.45999908447266,93.54000091552734,90.55999755859375,44598200,90.55999755859375,114.3499984741211,111.62999725341797,114.08000183105469,112.6500015258789,68501600.0,104.81965637207031,533.25,515.77001953125,530.3900146484375,515.780029296875,4408000,515.780029296875,121.44999694824219,111.33999633789062,119.80000305175781,112.48999786376953,28045300.0,112.48999786376953,696.1599731445312,675.280029296875,689.0999755859375,679.47998046875,2889900.0,679.47998046875
2015-08-21,89.18000030517578,85.61000061035156,87.5199966430664,86.05999755859375,62778700,86.05999755859375,111.9000015258789,105.6500015258789,110.43000030517578,105.76000213623047,128275500.0,98.40855407714844,512.3300170898438,494.4700012207031,507.3599853515625,494.4700012207031,6706500,494.4700012207031,110.0,102.75,106.19999694824219,103.95999908447266,33228300.0,103.95999908447266,672.8900146484375,643.0999755859375,671.0399780273438,644.030029296875,4594000.0,644.030029296875
2015-08-24,82.08999633789062,72.0,77.02999877929688,82.08999633789062,83710700,82.08999633789062,108.80000305175781,92.0,94.87000274658203,103.12000274658203,162206300.0,95.95209503173828,476.5799865722656,451.0,463.5799865722656,463.3699951171875,10097600,463.3699951171875,109.62999725341797,85.5,88.75,96.87999725341797,59951900.0,96.87999725341797,627.6799926757812,593.0900268554688,600.5999755859375,618.1099853515625,6489400.0,618.1099853515625
2015-08-25,87.66999816894531,83.0,86.94999694824219,83.0,52021200,83.0,111.11000061035156,103.5,111.11000061035156,103.73999786376953,103601600.0,96.52896881103516,489.44000244140625,466.25,487.489990234375,466.3699951171875,5679300,466.3699951171875,107.87999725341797,101.5,107.75,101.5199966430664,37620700.0,101.5199966430664,647.0,611.6699829101562,646.469970703125,612.469970703125,3571500.0,612.469970703125
2015-08-26,87.45999908447266,83.26000213623047,85.94999694824219,87.19000244140625,45124300,87.19000244140625,109.88999938964844,105.05000305175781,107.08999633789062,109.69000244140625,96774600.0,102.06539154052734,503.7200012207031,478.760009765625,484.0199890136719,500.7699890136719,6358600,500.7699890136719,110.27999877929688,102.0199966430664,107.1500015258789,110.12999725341797,36164600.0,110.12999725341797,662.47998046875,630.3699951171875,643.0999755859375,659.739990234375,4387000.0,659.739990234375
2015-08-27,90.05999755859375,87.19000244140625,89.0999984741211,89.7300033569336,42431400,89.7300033569336,113.23999786376953,110.0199966430664,112.2300033569336,112.91999816894531,84616100.0,105.07088470458984,522.6900024414062,507.260009765625,513.7100219726562,518.3699951171875,6114500,518.3699951171875,118.25,113.0199966430664,114.94000244140625,117.66000366210938,37056100.0,117.66000366210938,673.97998046875,651.0999755859375,671.989990234375,667.9600219726562,2948700.0,667.9600219726562
2015-08-28,91.4800033569336,89.79000091552734,89.87999725341797,91.01000213623047,33215900,91.01000213623047,113.30999755859375,111.54000091552734,112.16999816894531,113.29000091552734,53164400.0,105.41515350341797,521.5,513.0399780273438,517.5,518.010009765625,2746700,518.010009765625,119.3499984741211,115.87999725341797,116.3499984741211,117.62999725341797,20240200.0,117.62999725341797,667.0,653.75,665.760009765625,659.6900024414062,1941800.0,659.6900024414062
2015-08-31,91.05000305175781,88.88999938964844,90.5999984741211,89.43000030517578,32850700,89.43000030517578,114.52999877929688,112.0,112.02999877929688,112.76000213623047,56229300.0,104.92200469970703,519.4099731445312,509.07000732421875,516.4400024414062,512.8900146484375,3002300,512.8900146484375,117.0,113.76000213623047,115.23999786376953,115.02999877929688,17005600.0,115.02999877929688,664.4099731445312,646.3499755859375,654.3400268554688,647.8200073242188,1946800.0,647.8200073242188
2015-09-01,89.38999938964844,86.5,86.8499984741211,87.2300033569336,36097400,87.2300033569336,111.87999725341797,107.36000061035156,110.1500015258789,107.72000122070312,76845900.0,100.2323226928711,510.0,493.42999267578125,499.1400146484375,496.5400085449219,3864500,496.5400085449219,111.23999786376953,103.81999969482422,109.3499984741211,105.79000091552734,35977100.0,105.79000091552734,644.4400024414062,625.0599975585938,633.8099975585938,629.5599975585938,2572900.0,629.5599975585938
2015-09-02,89.88999938964844,87.62999725341797,88.80999755859375,89.88999938964844,27190500,89.88999938964844,112.33999633789062,109.12999725341797,110.2300033569336,112.33999633789062,61888800.0,104.53118133544922,510.8599853515625,497.7200012207031,505.0899963378906,510.54998779296875,3707100,510.54998779296875,109.5,100.30000305175781,109.30999755859375,105.44000244140625,39843300.0,105.44000244140625,645.0599975585938,630.6400146484375,638.0,644.9099731445312,1881500.0,644.9099731445312
2015-09-03,89.81999969482422,87.7300033569336,89.76000213623047,88.1500015258789,27048200,88.1500015258789,112.77999877929688,110.04000091552734,112.48999786376953,110.37000274658203,53233900.0,102.6981201171875,515.8400268554688,502.57000732421875,514.5,504.7200012207031,3149700,504.7200012207031,104.16999816894531,100.11000061035156,102.69000244140625,101.05999755859375,29546700.0,101.05999755859375,651.25,633.8099975585938,647.9299926757812,637.0499877929688,1728600.0,637.0499877929688
2015-09-04,88.38999938964844,86.69999694824219,87.19999694824219,88.26000213623047,27328700,88.26000213623047,110.44999694824219,108.51000213623047,108.97000122070312,109.2699966430664,49996300.0,101.67457580566406,502.8500061035156,495.6400146484375,497.6499938964844,499.0,2692500,499.0,99.93000030517578,97.33999633789062,98.05000305175781,98.79000091552734,24212000.0,98.79000091552734,634.5,626.5,629.7000122070312,628.9600219726562,2023900.0,628.9600219726562
2015-09-08,90.23999786376953,88.83000183105469,89.69000244140625,89.52999877929688,27012500,89.52999877929688,112.55999755859375,110.31999969482422,111.75,112.30999755859375,54843600.0,104.50326538085938,518.3499755859375,508.510009765625,508.69000244140625,517.5399780273438,3810700,517.5399780273438,102.5,93.55000305175781,102.08000183105469,94.94999694824219,43479700.0,94.94999694824219,645.0399780273438,632.9000244140625,641.0,643.8800048828125,1954600.0,643.8800048828125
2015-09-09,91.9800033569336,90.16999816894531,90.77999877929688,90.44000244140625,32551100,90.44000244140625,114.0199966430664,109.7699966430664,113.76000213623047,110.1500015258789,85010800.0,102.49341583251953,529.9500122070312,515.0599975585938,524.0,516.8900146484375,4370700,516.8900146484375,102.79000091552734,95.5199966430664,96.51000213623047,99.18000030517578,35524400.0,99.18000030517578,657.3599853515625,640.9000244140625,651.8800048828125,643.4099731445312,2048900.0,643.4099731445312
2015-09-10,92.05999755859375,89.62999725341797,90.06999969482422,91.9800033569336,26437400,91.9800033569336,113.27999877929688,109.9000015258789,110.2699966430664,112.56999969482422,62892800.0,104.7452163696289,526.1300048828125,514.780029296875,515.1500244140625,522.239990234375,2576000,522.239990234375,100.8499984741211,96.77999877929688,99.41999816894531,99.4800033569336,21031900.0,99.4800033569336,654.9000244140625,641.7000122070312,643.9000244140625,651.0800170898438,1392500.0,651.0800170898438
2015-09-11,92.08000183105469,91.12999725341797,91.68000030517578,92.05000305175781,21185000,92.05000305175781,114.20999908447266,111.76000213623047,111.79000091552734,114.20999908447266,49915500.0,106.27119445800781,529.4400024414062,520.6099853515625,521.0700073242188,529.4400024414062,3227900,529.4400024414062,100.8499984741211,97.2300033569336,98.56999969482422,97.51000213623047,17373900.0,97.51000213623047,655.3099975585938,647.4099731445312,650.2100219726562,655.2999877929688,1744600.0,655.2999877929688
2015-09-14,92.62000274658203,91.5999984741211,92.30999755859375,92.30999755859375,20127900,92.30999755859375,116.88999938964844,114.86000061035156,116.58000183105469,115.30999755859375,58363400.0,107.29472351074219,532.4500122070312,518.5800170898438,529.4400024414062,521.3800048828125,3130200,521.3800048828125,97.91000366210938,94.33000183105469,96.83999633789062,95.69000244140625,15546000.0,95.69000244140625,655.9199829101562,649.5,655.6300048828125,652.469970703125,1497100.0,652.469970703125
